vector,nivel,nivel_nome,melhor_referencia
"(1, 2, 4, 1, 5)",3,Estruturação,NEUTRO
"(1, 2, 4, 2, 1)",3,Estruturação,NEUTRO
"(1, 2, 4, 2, 2)",3,Estruturação,NEUTRO
"(1, 2, 4, 2, 3)",3,Estruturação,NEUTRO
"(1, 2, 4, 2, 4)",3,Estruturação,NEUTRO
"(1, 2, 4, 2, 5)",3,Estruturação,NEUTRO
"(1, 2, 4, 3, 1)",3,Estruturação,NEUTRO
"(1, 2, 4, 3, 2)",3,Estruturação,NEUTRO
"(1, 2, 4, 3, 3)",3,Estruturação,NEUTRO
"(1, 2, 4, 3, 4)",3,Estruturação,NEUTRO
"(1, 2, 4, 3, 5)",3,Estruturação,NEUTRO
"(1, 2, 4, 4, 1)",3,Estruturação,NEUTRO
"(1, 2, 4, 4, 2)",3,Estruturação,NEUTRO
"(1, 2, 4, 4, 3)",3,Estruturação,NEUTRO
"(1, 2, 4, 4, 4)",3,Estruturação,ESTAVEL
"(1, 2, 4, 4, 5)",3,Estruturação,ESTAVEL
"(1, 2, 4, 5, 1)",3,Estruturação,NEUTRO
"(1, 2, 4, 5, 2)",3,Estruturação,NEUTRO
"(1, 2, 4, 5, 3)",3,Estruturação,NEUTRO
"(1, 2, 4, 5, 4)",3,Estruturação,ESTAVEL
"(1, 2, 4, 5, 5)",3,Estruturação,ESTAVEL
"(1, 2, 5, 1, 1)",3,Estruturação,NEUTRO
"(1, 2, 5, 1, 2)",3,Estruturação,NEUTRO
"(1, 2, 5, 1, 3)",3,Estruturação,NEUTRO
"(1, 2, 5, 1, 4)",3,Estruturação,NEUTRO
"(1, 2, 5, 1, 5)",3,Estruturação,INOVADOR
"(1, 2, 5, 2, 1)",3,Estruturação,NEUTRO
"(1, 2, 5, 2, 2)",3,Estruturação,NEUTRO
"(1, 2, 5, 2, 3)",3,Estruturação,NEUTRO
"(1, 2, 5, 2, 4)",3,Estruturação,NEUTRO
"(1, 2, 5, 2, 5)",3,Estruturação,INOVADOR
"(1, 2, 5, 3, 1)",3,Estruturação,NEUTRO
"(1, 2, 5, 3, 2)",3,Estruturação,NEUTRO
"(1, 2, 5, 3, 3)",3,Estruturação,NEUTRO
"(1, 2, 5, 3, 4)",3,Estruturação,NEUTRO
"(1, 2, 5, 3, 5)",3,Estruturação,INOVADOR
"(1, 2, 5, 4, 1)",3,Estruturação,NEUTRO
"(1, 2, 5, 4, 2)",3,Estruturação,NEUTRO
"(1, 2, 5, 4, 3)",3,Estruturação,NEUTRO
"(1, 2, 5, 4, 4)",3,Estruturação,ESTAVEL
