vector,dimensao,score_atual,nivel_atual,delta_score_mais,delta_nivel_mais,delta_score_menos,delta_nivel_menos,eh_gargalo
"(1, 1, 2, 5, 4)",4,1.6,2,,,-0.20000000000000018,-1.0,False
"(1, 1, 2, 5, 4)",5,1.6,2,0.19999999999999973,0.0,-0.20000000000000018,-1.0,False
"(1, 1, 2, 5, 5)",1,1.7999999999999998,2,0.20000000000000018,0.0,,,True
"(1, 1, 2, 5, 5)",2,1.7999999999999998,2,0.20000000000000018,0.0,,,True
"(1, 1, 2, 5, 5)",3,1.7999999999999998,2,0.20000000000000018,0.0,-0.19999999999999973,0.0,False
"(1, 1, 2, 5, 5)",4,1.7999999999999998,2,,,-0.19999999999999973,0.0,False
"(1, 1, 2, 5, 5)",5,1.7999999999999998,2,,,-0.19999999999999973,0.0,False
"(1, 1, 3, 1, 1)",1,0.3999999999999999,1,0.20000000000000018,0.0,,,True
"(1, 1, 3, 1, 1)",2,0.3999999999999999,1,0.20000000000000018,0.0,,,True
"(1, 1, 3, 1, 1)",3,0.3999999999999999,1,0.20000000000000018,0.0,-0.19999999999999996,0.0,False
"(1, 1, 3, 1, 1)",4,0.3999999999999999,1,0.20000000000000018,0.0,,,True
"(1, 1, 3, 1, 1)",5,0.3999999999999999,1,0.20000000000000018,0.0,,,True
"(1, 1, 3, 1, 2)",1,0.6000000000000001,1,0.19999999999999996,0.0,,,True
"(1, 1, 3, 1, 2)",2,0.6000000000000001,1,0.19999999999999996,0.0,,,True
"(1, 1, 3, 1, 2)",3,0.6000000000000001,1,0.19999999999999996,0.0,-0.20000000000000018,0.0,False
"(1, 1, 3, 1, 2)",4,0.6000000000000001,1,0.19999999999999996,0.0,,,True
"(1, 1, 3, 1, 2)",5,0.6000000000000001,1,0.19999999999999996,0.0,-0.20000000000000018,0.0,False
"(1, 1, 3, 1, 3)",1,0.8,1,0.19999999999999996,0.0,,,True
"(1, 1, 3, 1, 3)",2,0.8,1,0.19999999999999996,0.0,,,True
"(1, 1, 3, 1, 3)",3,0.8,1,0.19999999999999996,0.0,-0.19999999999999996,0.0,False
"(1, 1, 3, 1, 3)",4,0.8,1,0.19999999999999996,0.0,,,True
